title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,tier,match_score,fit_score,score_source,screen_method,resume_profile_used,role_family,seniority_fit,main_gaps,recommended_action,recommended_resume,first_seen,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,source_pipeline,job_url
Software Engineer - Summer Intern 2027,S&P Global,"Cambridge, Massachusetts, United States",2026-09-09,Sponsor,,no,Software,,B,78.0,78.0,llm,llm,resume_ai,ai,good,"['Internship eligibility and 2027 academic-status requirements are not stated, but the candidate’s May 2026 graduation may affect eligibility']",apply_now,AI-FDE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::4ee7b92aef4c1d977e74b54f137191dc,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://careers.spglobal.com/jobs/331717?lang=en-us
Software Developer Intern – Document Shared Services (Part-Time),OneMain Financial,"Evansville, Indiana, United States",2026-09-09,Sponsor,,yes,Software,,B,75.0,75.0,rule_fallback,rule_fallback,resume_swe,swe,good,[],apply_if_time,SWE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::4213a0964d3df426907300abbe8a90bb,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://myhrhome.wd1.myworkdayjobs.com/en-US/OneMainCareers/job/Evansville-IN/Software-Developer-Intern---Document-Shared-Services--Part-Time-_R2608-52284?jobFamilyGroup=ba4d153a754b017b5ae068866d333a10&jobFamilyGroup=ba4d153a754b01c1280165866d333810
Backend Software Engineer II 3 year's experience,FIS,"Chicago, Illinois, United States",2026-09-09,Sponsor,,no,"Software, Backend","79,230-134,700 USD/annual",B,83.0,83.0,llm,llm,resume_swe,swe,stretch,"['The role prefers 3+ years of software engineering experience and mentoring scope, which is only partially evidenced']",apply_now,SWE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::0082090ca1e5ca6f95dc82e38633f019,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://fis.wd5.myworkdayjobs.com/en-US/SearchJobs/job/US-IL-CHI-222-STE-1700/Software--Engineer-II_JR0308355
SOFTWARE ENGINEER 2,HII,"Newport News, Virginia, United States",2026-09-09,Sponsor,,no,Software,,B,73.0,73.0,llm,llm,resume_swe,swe,good,['PLM/Teamcenter development experience is not evidenced'],apply_now,SWE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::07b250d0cff75a216db24f2c5112ce5f,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://careers.huntingtoningalls.com/job/Newport-News-SOFTWARE-ENGINEER-2-Virg/1410080200/
Associate Software Engineer,IBM,"LOWELL, Massachusetts, United States",2026-09-09,Sponsor,,no,Software,"71,000-123,000 USD/annual",A,88.0,88.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::58f1cb7446e93355e639b94b2fc81f65,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=132165&source=WEB_Search_NA
"Software Engineer, AV Launch – Early Career",General Motors,"Sunnyvale, California, United States",2026-09-09,Sponsor,,yes,Software,"119,250-153,900 USD/annual",B,86.0,86.0,llm,llm,resume_swe,swe,good,"['No direct autonomous-vehicle, embedded, or robotics project experience is evidenced']",referral_now,SWE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::7e4184f17a6024170d8fe1ea8290ef89,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://search-careers.gm.com/en/jobs/jr-202619888/software-engineer-av-launch-early-career/
Associate Software Engineer,IBM,"Boston, Massachusetts, United States",2026-09-09,Sponsor,,no,Software,"71,000-123,000 USD/annual",A,88.0,88.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::69890e10cccd1989a30eff51c8e60473,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=131797&source=WEB_Search_NA
Career Accelerator Program - Software Engineer,Texas Instruments,"Dallas, Texas, United States",2026-09-09,Sponsor,,no,Software,,A,85.0,85.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::fa8dd06479dbab7f5ea5bb16cd091bdf,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25017860/?brand=Interns&lastSelectedFacet=WORK_LOCATIONS&selectedWorkLocationsFacet=300000068944502%253B300000069140837%253B300000972512782%253B300000069115462%253B300000068944070%253B300000068944563%253B300000069115376%253B300000069139239%253B300000069139953%253B300000069139396%253B300000068944251%253B300000068944485%253B300000069115441
SAP iXp Intern - Full-Stack AI Developer,Optimum,"Palo Alto, California, United States",2026-09-09,Sponsor,,no,"Full Stack, AI",15-62 USD/hourly,B,93.0,93.0,cached_llm,cached_llm,resume_ai,ai,good,[],referral_now,AI-FDE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::74b435fe547e93c63243c9d53b6bd8df,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://jobs.sap.com/job/Palo-Alto-SAP-iXp-Intern-Full-Stack-AI-Developer-CA-94304/1425371233/
Machine Learning Engineer - Summer Intern 2027,S&P Global,"New York, New York, United States",2026-09-09,Sponsor,,no,Machine Learning,,B,72.0,72.0,llm,llm,resume_ai,ai,good,"['The role is an internship for candidates pursuing a degree; the resume’s listed M.S. end date is May 2026, so 2027 student eligibility is uncertain', 'Less direct evidence of advanced conventional ML modeling and statistical analysis than of LLM systems engineering']",apply_if_time,AI-FDE,2026-09-10T15:11:09.456367+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::4aac4fb842fc5ce4d444e005d9458d0c,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:11:09.456367+00:00,syncareer,https://careers.spglobal.com/jobs/331714?lang=en-us
